Well Name,Field Name,Timestamp,Production_1D,Production_7D,Production Target,Average Cycle Time
Tango-2,Alpha 1,2024-02-01T00:00:00+00:00,35.47333002,45.55006413,32.66973369,7451
Tango-2,Alpha 1,2024-02-02T00:00:00+00:00,35.11643044,42.3755886,30.06548101,7512
Tango-2,Alpha 1,2024-02-03T00:00:00+00:00,36.74175215,40.02373787,30.79651628,7332
Tango-2,Alpha 1,2024-02-04T00:00:00+00:00,35.35975504,38.11870797,34.64543356,7855
Tango-2,Alpha 1,2024-02-05T00:00:00+00:00,36.39167023,36.75618112,26.52551354,9653
Tango-2,Alpha 1,2024-02-06T00:00:00+00:00,37.64729309,36.02722909,35.43494297,7650
Tango-2,Alpha 1,2024-02-07T00:00:00+00:00,36.33929459,35.8540949,26.77123972,10125
Tango-2,Alpha 1,2024-02-08T00:00:00+00:00,34.53149194,35.95012719,29.40173866,13560
Tango-2,Alpha 1,2024-02-09T00:00:00+00:00,34.01623352,35.76799013,25.19489021,7364
Tango-2,Alpha 1,2024-02-10T00:00:00+00:00,37.94294405,36.12130433,33.46846217,10635
Tango-2,Alpha 1,2024-02-11T00:00:00+00:00,36.17841482,36.05088716,32.77436243,11415
Tango-2,Alpha 1,2024-02-12T00:00:00+00:00,36.36936776,36.17708875,35.17740855,9540
Tango-2,Alpha 1,2024-02-13T00:00:00+00:00,34.36190875,35.92336857,32.29387863,7068
Tango-2,Alpha 1,2024-02-14T00:00:00+00:00,36.67775488,35.80217629,35.38149905,9600
Tango-2,Alpha 1,2024-02-15T00:00:00+00:00,32.54052051,35.32732953,26.76239415,9747
Tango-2,Alpha 1,2024-02-16T00:00:00+00:00,31.91364018,35.00009806,28.71244932,5430
Tango-2,Alpha 1,2024-02-17T00:00:00+00:00,27.26184654,34.15579969,27.26184654,46800
Tango-2,Alpha 1,2024-02-18T00:00:00+00:00,17.82567739,31.64114136,5.841246785,10989
Tango-2,Alpha 1,2024-02-19T00:00:00+00:00,27.47462257,30.55316732,25.07019481,5912
Tango-2,Alpha 1,2024-02-20T00:00:00+00:00,30.99041239,29.8807979,30.99041239,22800
Tango-2,Alpha 1,2024-02-21T00:00:00+00:00,20.96724772,28.20646527,8.545909834,9000
Tango-2,Alpha 1,2024-02-22T00:00:00+00:00,20.95354597,26.24093916,17.16722632,6600
Tango-2,Alpha 1,2024-02-23T00:00:00+00:00,38.35160486,26.9673247,32.75404389,9947
Tango-2,Alpha 1,2024-02-24T00:00:00+00:00,30.78588163,26.82635489,22.62120675,15080
Tango-2,Alpha 1,2024-02-25T00:00:00+00:00,25.13003525,26.55987847,20.85350598,5970
Tango-2,Alpha 1,2024-02-26T00:00:00+00:00,14.56094288,26.15178666,10.59338035,6900
